	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)
VARIABLES	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	stxo_r2	stxo_r2	stxo_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	straven_r2	straven_r2	straven_r2	friendh_r2	friendh_r2	friendh_r2	efforth_r2	efforth_r2	efforth_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	stxo_r2	stxo_r2	stxo_r2	stpcotskill_r2	stpcotskill_r2	stpcotskill_r2	stpcsrskill_r2	stpcsrskill_r2	stpcsrskill_r2	straven_r2	straven_r2	straven_r2	friendh_r2	friendh_r2	friendh_r2	efforth_r2	efforth_r2	efforth_r2	eduexpt_r2	eduexpt_r2	eduexpt_r2
																																																												
pchome_r1			0.48																														0.48																											
			(0.03)***																														(0.03)***																											
loswfnd			0.01			0.02			-0.00			0.08			0.07			0.01			-0.02			0.03			-0.00			-0.01			0.01			0.02			-0.00			0.08			0.07			0.01			-0.02			0.03			-0.00			-0.01
			(0.02)			(0.02)			(0.02)			(0.04)*			(0.04)			(0.04)			(0.04)			(0.03)			(0.03)			(0.02)			(0.02)			(0.02)			(0.02)			(0.04)*			(0.04)			(0.04)			(0.04)			(0.03)			(0.03)			(0.02)
wfrndtotplott_r1			0.01			-0.00			0.01			0.05			0.04			0.03			0.03			0.03			0.03			0.02			0.01			-0.00			0.01			0.05			0.04			0.03			0.03			0.03			0.03			0.02
			(0.00)			(0.00)			(0.01)			(0.01)***			(0.01)***			(0.01)**			(0.01)***			(0.00)***			(0.00)***			(0.01)***			(0.00)			(0.00)			(0.01)			(0.01)***			(0.01)***			(0.01)**			(0.01)***			(0.00)***			(0.00)***			(0.01)***
male_r2			0.01			0.04			0.06			0.11			0.12			0.26			0.01			0.01			-0.04			-0.03			0.01			0.04			0.06			0.11			0.12			0.26			0.01			0.01			-0.04			-0.03
			(0.02)			(0.01)***			(0.02)***			(0.06)*			(0.03)***			(0.05)***			(0.05)			(0.03)			(0.03)			(0.02)			(0.02)			(0.01)***			(0.02)***			(0.06)*			(0.03)***			(0.05)***			(0.05)			(0.03)			(0.03)			(0.02)
age_r2			-0.00			0.01			0.00			-0.03			-0.02			0.04			-0.01			0.00			-0.00			-0.06			-0.00			0.01			0.00			-0.03			-0.02			0.04			-0.01			0.00			-0.00			-0.06
			(0.01)			(0.01)*			(0.01)			(0.02)			(0.03)			(0.02)*			(0.03)			(0.01)			(0.01)			(0.01)***			(0.01)			(0.01)*			(0.01)			(0.02)			(0.03)			(0.02)*			(0.03)			(0.01)			(0.01)			(0.01)***
sibling_r2			0.01			-0.00			0.00			0.01			-0.02			-0.00			-0.02			0.01			-0.00			-0.01			0.01			-0.00			0.00			0.01			-0.02			-0.00			-0.02			0.01			-0.00			-0.01
			(0.00)			(0.01)			(0.01)			(0.02)			(0.01)*			(0.01)			(0.02)			(0.01)			(0.01)			(0.01)			(0.00)			(0.01)			(0.01)			(0.02)			(0.01)*			(0.01)			(0.02)			(0.01)			(0.01)			(0.01)
ysibling_r2			-0.01			-0.00			-0.01			0.03			-0.02			-0.05			-0.02			-0.01			-0.02			-0.01			-0.01			-0.00			-0.01			0.03			-0.02			-0.05			-0.02			-0.01			-0.02			-0.01
			(0.01)			(0.01)			(0.01)			(0.03)			(0.02)			(0.03)*			(0.02)			(0.01)			(0.01)***			(0.01)			(0.01)			(0.01)			(0.01)			(0.03)			(0.02)			(0.03)*			(0.02)			(0.01)			(0.01)***			(0.01)
fathlivh_r2			0.02			0.01			0.02			-0.08			-0.08			-0.07			0.06			-0.03			-0.04			0.02			0.02			0.01			0.02			-0.08			-0.08			-0.07			0.06			-0.03			-0.04			0.02
			(0.02)			(0.01)			(0.03)			(0.06)			(0.06)			(0.05)			(0.06)			(0.02)			(0.01)***			(0.02)			(0.02)			(0.01)			(0.03)			(0.06)			(0.06)			(0.05)			(0.06)			(0.02)			(0.01)***			(0.02)
fathwout_r2			0.04			-0.01			0.01			0.09			0.13			0.12			-0.02			0.07			0.03			0.05			0.04			-0.01			0.01			0.09			0.13			0.12			-0.02			0.07			0.03			0.05
